app_id,user_name,date,rating,review_text,dev_response_title,dev_response_date,dev_response_text
pabloweb.net.SelfControl,  PitchBite,2018-12-03,5,"Only Safari, not for Chrome, etc.. This is a good app. Works well. Would be even better if it could work for Chrome and other leading browser apps!",NA,NA,NA
com.imobiapp.screentimer,  Cloudy456667,2017-01-01,1,Doesn't work. Doesn't work on ipad as far as i can see - get a free one instead,NA,NA,NA
com.getcluster.Compose,  oliedis,2014-12-18,1,"Pointless. So many of these apps already exist, and and have things such as default To: addresses so you don’t even need to set the To: field. If you are interested in an app like this check out Quick-E-mail it’s much better.",NA,NA,NA
club.donutdog.ios,  Burger friends,2018-03-28,3,Okay. It is badly designed because you can leave the app open and play a game without it stopping.,"  Developer Response
",17/04/2018,"      

          Thank you for your feedback. You need to turn on the ""Auto Detect"" feature in the settings view. In version 1.2, it's turned on by default for all new users.


  



"
club.donutdog.ios,  Ducky4211,2018-06-07,1,"App crashes. Hi there, I’m running on the latest iOS but the app crashes everytime I open it. Could you please fix this?",NA,NA,NA
com.getfeedless.feedless,  BadPigeon,2018-03-17,4,Great on iPhone!. Really love the idea of this app. Great on iPhone but doesn't seem to work on iPad.,NA,NA,NA
com.riko.suyasaso,  ...Ari,2018-12-03,3,"Can no longer listen to music. Really helpful. However, I can no longer listen to my music, use this app and lock my screen. I used to be able to do this but now my screen has to be awake the whole time if I want to listen to my music",NA,NA,NA
com.riko.suyasaso,  Ldnfbro,2018-06-01,5,"Love this app... I really like this app, it helps so much with revising time and even rewards you and it’s good.",NA,NA,NA
com.bellostudios.hooked,  unicornsbusted,2018-09-29,5,Amazing. This is an amazing app that helps children learn and give up there technical goods for a little time off It is fun to play because you create your own gardena and its good to do because then you dont have to get your eyes checked Thanks for this app xx,NA,NA,NA
com.bellostudios.hooked,  Ree.84,2018-08-05,5,"Useful. Easy to use, and helps me control the amount of time I spend using my phone. It is sometimes really scary when you realise how much time you are wasting on social medica accounts and games! And this helps you monitor this",NA,NA,NA
com.bellostudios.hooked,  AlexBeeching,2016-02-29,4,It's an alright app. If you're curious how long you spend on your apple device then this is the app for you. It's easy to navigate and find out what you want to know- annoyingly however you can't see how much time you spend on individual apps.,NA,NA,NA
com.jordan-carney.Liberate,  annaxxxvxk,2019-02-22,3,Suggestions. Wish there was a way to set a password to make changes to blocked sites,NA,NA,NA
com.jordan-carney.Liberate,  Whisky Kid,2019-01-25,5,Does the job.. Thanks,NA,NA,NA
com.jordan-carney.Liberate,  niyangirl,2018-11-25,1,😞. I thought the app would be linked to the apps on my phone I intended to block. So disappointed,NA,NA,NA
org.aliyilmaz.notelr,  Saito Ikuko,2014-08-12,1,Forget it.... Worthless! Absolutely worthless. Shall I say more? Do not bother with this App. You will be better off with something else altogether...,NA,NA,NA
ca.genoe.Refrain,  Jcbake0192837465,2018-06-30,1,"App doesn’t work, don’t waste your money. Downloaded the app and bought the in app purchase of scheduled content blocking.Set up as per instructions (enable in Settings>Safari>Content Blocker). Still able to access websites as if nothing is different. App doesn’t work.Please fix this issue.",NA,NA,NA
ca.genoe.Refrain,  The Fail Quail,2017-04-22,1,Doesn't work. Won't let me add a website to distracting site list. Design looks clean and otherwise would be good.,NA,NA,NA
vn.wehelp.SelfControlLite,  a.elmes06,2019-01-13,1,"Don’t recommend it. It doesn’t work, there’s nothing to the app and what even are the passwords??? No one is going to remember the passwords because they’re REALLY hard and pointless. You get onto the app and there’s pretty much nothing there. It doesn’t make any sense when you set the timer and the app doesn’t explain how to use it. It’s not a good app: I had it all of five minutes and hated it straight away. Really don’t recommend it.",NA,NA,NA
vn.wehelp.SelfControlLite,  slsllskdek,2018-10-15,1,Rubbish. Didn’t even work,NA,NA,NA
vn.wehelp.SelfControlLite,  1dasher7,2016-03-30,1,Awful. Don't download or buy the real version waste of money and confusing,NA,NA,NA
com.yeowjin.simpletext,  Tuntle,2018-10-25,4,"Refreshingly Simple. Works as advertised and is a pleasure to use. I would feel safer with iCloud, however, and a sync between pad and phone, too. If so, would happily give five stars but until then four.","  Developer Response
",29/10/2018,"      

          Thanks for the feedback! iCloud is one of the most requested feature and is definitely in the plan. Do stay tuned for future updates 😊


  



"
com.usedopamine.app.space,  Roojha,2017-07-24,5,I feel more present now I have this app. I want to live more in the present and this app helps me to rethink my phone useage without any effort. Since I downloaded the app I have used FB so much less and feel a lot more connected to reality,NA,NA,NA
com.erichuju.pomodoro,  freysky,2018-05-10,4,A necessity!. This app is just what I needed to stop me from getting distracted without having to turn off my phone! Only have one issue in that I won’t have come off the app but in my statistics the tasks will all appear as disrupted but I won’t have used my phone at all - otherwise it works great!,NA,NA,NA
com.erichuju.pomodoro,  Amazeballs gal,2018-04-13,5,5 star. Really helps with keeping on task and not procrastinating.,NA,NA,NA
com.bluecocoa.time2,  Bat nut,2018-04-15,5,"Love this app!. I’ve tried every time management tool and this one is the only thing that works. I would gladly pay for it if it had a few more features such as customisable colours/themes, a way to set tasks for the week and syncing with a desktop/browser and iPad version. However even in it’s current form it’s brilliant.",NA,NA,NA
com.bluecocoa.time2,  Max Beech,2019-01-27,4,"Great app, but.... Fantastic app, however one really frustrating thing is that if repeating to-dos have been only partially completed, they don't reset the following day.This is super frustrating and really needs to be fixed.Otherwise brilliant app.",NA,NA,NA
com.bluecocoa.time2,  connberry9,2019-03-16,2,Slow when you add calendar events. Lag when calendar events enabled,NA,NA,NA
ca.genoe.Refrain,The Fail Quail,NA,1,Doesn't work. Won't let me add a website to distracting site list. Design looks clean and otherwise would be good.,NA,NA,NA
club.donutdog.ios,Burger friends,NA,3,Okay. It is badly designed because you can leave the app open and play a game without it stopping.,NA,NA,NA
com.appfinca.flora.ios,miss.mariam123,NA,2,facebook?. i can’t use the app because it’s only with facebook. when are they going to add more stuff like google and phone numbers etc. no hate i like the idea of the app it’s just that.,NA,NA,NA
com.appfinca.flora.ios,marlabroadway,NA,1,"Flora hours deleted. I really love this app, and have been using it since November and recently achieved the 120 hours badge which I was really proud of. However a few days ago all of my hours and minutes disappeared, and now it’s not adding any hours even if I have just done them??!! I have restarted my phone, logged in and out of the app and emailed support but nothing. I am really hoping that they can be restored and that no one else’s commitment has been erased.",NA,NA,NA
com.appfinca.flora.ios,little alethea,NA,1,won’t let me log in. just downloaded this as I thought it would be helpful but it won’t let me log in it just keeps saying there is an error :(,NA,NA,NA
com.appfinca.flora.ios,beauthebest dog,NA,3,The login. I think the idea of the app is good but I'm only 13 and not allowed Facebook you need Facebook to log in I'm in first year of brittidh high school and thought this would be great to help with my studies because I always go on my phone so the login is the part that ruined the app for my if you have had any similar experiences then please reply to this comment because I just don't like this section of the app Sienna w (13),NA,NA,NA
com.appfinca.flora.ios,Diddy Dude123456,NA,5,"Revision must have ♥️. I’m currently in the second year of my A levels, I’ve been revising for my a level exams since the start of February and by only having this app for a few days I can massively tell the difference in the quality of my revision. When I’m about to stop my revision for the day, I think of how many more new seeds I can discover before I go to bed and it ends up squeezing an extra 2 hours of revision out of me - which adds up massively!Definitely recommend for every student 👩‍🎓👨‍🎓",NA,NA,NA
com.appfinca.flora.ios,🎹🎵📖🎸,NA,5,I like it. Well I am really good at wasting time and easily distracted! With using this app it makes me really concentrated on my essay with the money spending warning! And I really like this idea of planting the real tree!,NA,NA,NA
com.appfinca.flora.ios,EllenGC3,NA,5,Great app for A-Levels. Amazing for a master procrastinator! Can’t ever seem to put my phone down and my exams are in 7 weeks. Logging into Facebook also really helps to encourage me - seem to have formed a competition with pupils I know from other schools! Just wondering what the difference is between Flora and Forest? Can you upgrade or are they different and if so how?,NA,NA,NA
com.appfinca.flora.ios,âleena,NA,1,"Doesn’t work. After logging in it just says “there was an issue try again later” it hasn’t been working for the past 3 days. I’ve even tried deleting it and downloading it again, it doesn’t get past the logging in stage",NA,NA,NA
com.appfinca.flora.ios,Tfeh123,NA,1,Fallen from grace. Was a great app then started insisting on fb login which when done just results in not being able to log into an app I pay a subscription for despite having a valid fb account. V disappointed 😤,NA,NA,NA
com.appfinca.flora.ios,Spring stars,NA,4,Pls change!!. I’m only give this 4 stars bc when I opened the app it said log in with face book but I don’t have Facebook bc I’m too young but pls can you change it so u can add ur email adress as well and Facebook tysm!!,NA,NA,NA
com.appfinca.flora.ios,Heathabi92,NA,5,"Such a great idea. I’ve always thought I needed some kind of penalty if I broke a ‘phone free’ hour whilst studying. This is fab. You have the option to put money down on it, and then if you do pick up your phone the money goes towards planting a tree. I’ve also joined the premium planters and this means for every 24 hours work I do, a tree is planted. Decent ! Thanks Flora",NA,NA,NA
com.appfinca.flora.ios,OliviaGeorgina,NA,3,"Good app but has bugs.. App is good in the sense that it does what it aims to, you can set a time you want to focus for & the app works doing that but any other section of the app seems to have bugs in it.The ‘weekly stats’ appear incorrectly in the app. They are a day behind so your ‘focus time’ for that day display as yesterday’s activity which doesn’t make any sense.The notifications the app sends also don’t correspond correctly with the focus time. I’ve had two hours of focus time today but the notification I received says zero hours, as it does everyday...Overall a good app but you cannot track your activity with ease as all of the tracking sections of the app seem to not work properly.",NA,NA,NA
com.appfinca.flora.ios,boraalper4,NA,2,"Bad Interface, Annoyingly Frequent Notifications. The interface is quite bad, and the app offers barely any more benefit than using your built-in countdown timer. On top of that, notifications are far too frequent.",NA,NA,NA
com.appfinca.flora.ios,elizeu drummond,NA,1,Facebook users only. Only works if you have a Facebook account (and if you are willing to link the app to your Facebook). Huge privacy issues. Non starter for me.,NA,NA,NA
