app_key,feature,confidence,review_hits
play:ai.momental,"Choose your moment: Meditate, sleep, focus, or relax",0.95,10
play:ai.momental,Set your duration: From a quick minute to an endless session,0.95,10
play:ai.momental,Customize your session: Add gentle start/end bells and optional interval markers,0.95,10
play:ai.momental,Craft your soundscape: Select from 60+ music tracks and combine them,0.95,10
play:ai.momental,Track your progress: Build a lasting habit with visual streaks,0.95,10
play:ai.momental,Reflect on your practice: Optionally journal your thoughts after each session,0.95,10
play:ai.momental,"One tap to start a clean, distractionfree timer",0.95,10
play:ai.momental,"Premium soundscapes: 60+ soundscapes from frequencies, nature sounds, and focus music",0.95,10
play:ai.momental,Visual streaks and smart reminders to maintain your practice,0.95,10
play:ai.momental,"Charts showing total sessions, time invested, and category breakdowns",0.95,10
play:ai.momental,"Session modes optimized for meditate, focus, sleep, and relax",0.95,10
play:ai.momental,Advanced timer setup with warmup periods and multiple interval bells,0.95,10
play:ai.momental,Solfeggio frequencies for sound healing,0.95,10
play:ai.momental,Session journal for personal notes after each session,0.95,10
play:ai.momental,Dedicated sleep timers and calming soundscapes for restful sleep,0.95,10
play:ai.momental,"Crossdevice sync for progress, settings, and journal entries",0.95,10
play:ai.perplexity.app.android,Perplexity Pro Search,0.95,10
play:ai.perplexity.app.android,Thread FollowUp,0.95,10
play:ai.perplexity.app.android,Voice input and output,0.95,10
play:ai.perplexity.app.android,Cited sources for answers,0.95,10
play:ai.perplexity.app.android,Community discovery features,0.95,10
play:ai.perplexity.app.android,User Library for curated discoveries,0.95,10
play:ai.perplexity.app.android,Sync across devices,0.95,10
play:ai.perplexity.app.android,Integration with thirdparty email accounts,0.95,10
play:ai.perplexity.app.android,Integration with thirdparty calendar services,0.95,10
play:ai.x.grok,answer questions,0.95,10
play:ai.x.grok,generate images,0.95,10
play:ai.x.grok,generate videos,0.95,10
play:ai.x.grok,engage in natural conversations,0.95,10
play:ai.x.grok,voice mode,0.95,10
play:ai.x.grok,upload pictures,0.95,10
play:app.avocation.avocation,offline habit tracker,0.95,10
play:app.avocation.avocation,create and organize daily routine plans,0.95,10
play:app.avocation.avocation,visualize habits in circles,0.95,10
play:app.avocation.avocation,"customize habit colors, icons, and routines",0.95,10
play:app.avocation.avocation,schedule individual notifications for each habit,0.95,10
play:app.avocation.avocation,habit reminders,0.95,10
play:app.avocation.avocation,track progress with statistics screen,0.95,10
play:app.avocation.avocation,progress represented by a water bottle,0.95,10
play:app.avocation.avocation,time travel feature to mark completed habits from previous days,0.95,10
play:app.avocation.avocation,grow a baby plant as a reward for completing habits,0.95,10
play:app.avocation.avocation,access to lessons about habit development,0.95,10
play:app.avocation.avocation,no registration needed for free account,0.95,10
play:app.avocation.avocation,support for up to 5 habits in free version,0.95,10
play:app.avocation.avocation,custom reminders,0.95,10
play:app.avocation.avocation,monthly and yearly subscription options,0.95,10
play:app.avocation.avocation,inapp purchases for additional features,0.95,10
play:app.avocation.avocation,restore purchases on different devices,0.95,10
play:app.disciplined.productive.structured.habit.tracker,Customizable Habit Formation,0.95,10
play:app.disciplined.productive.structured.habit.tracker,Visual Progress Tracking,0.95,10
play:app.disciplined.productive.structured.habit.tracker,Timely Personalized Reminders,0.95,10
play:app.disciplined.productive.structured.habit.tracker,Indepth Statistical Insights,0.95,10
play:app.disciplined.productive.structured.habit.tracker,Adaptable Scheduling,0.95,10
play:app.disciplined.productive.structured.habit.tracker,Seamless MultiDevice Integration,0.95,10
play:app.hallow.android,Daily Prayers & Devotionals,0.95,10
play:app.hallow.android,Christian Meditation,0.95,10
play:app.hallow.android,Bible Stories for Sleep,0.95,10
play:app.hallow.android,Rosary,0.95,10
play:app.hallow.android,Ignatian Examen,0.95,10
play:app.hallow.android,Lectio Divina,0.95,10
play:app.hallow.android,Taizé & Gregorian Chant,0.95,10
play:app.hallow.android,Community Challenges,0.95,10
play:app.hallow.android,Homilies & Guests,0.95,10
play:app.hallow.android,Praylists,0.95,10
play:app.hallow.android,Personal Prayer Journal,0.95,10
play:app.hallow.android,"Litanies, Novenas, & Devotionals",0.95,10
play:app.hallow.android,Minute Meditations,0.95,10
play:app.hallow.android,Customizable prayer length options,0.95,10
play:app.hallow.android,Set prayer reminders,0.95,10
play:app.hallow.android,Calm background music,0.95,10
play:app.hallow.android,Offline listening,0.95,10
play:app.hallow.android,Hallow Family sharing,0.95,10
play:app.hallow.android,Daily Gospel,0.95,10
play:app.hallow.android,Daily Reflections,0.95,10
play:app.hallow.android,Daily Contemplation,0.95,10
play:app.hallow.android,Kids & Families content,0.95,10
play:app.hallow.android,Mental Health Talks and Exercises,0.95,10
play:app.hallow.android,Explore by Category,0.95,10
play:app.hallow.android,Subscription options,0.95,10
play:app.kids360.parent,Parental control,0.95,10
play:app.kids360.parent,Limit screen time,0.95,10
play:app.kids360.parent,App lock,0.95,10
play:app.kids360.parent,Track usage time,0.95,10
play:app.kids360.parent,Educational games,0.95,10
play:app.kids360.parent,Set time limits,0.95,10
play:app.kids360.parent,Block apps,0.95,10
play:app.kids360.parent,Track GPS,0.95,10
play:app.kids360.parent,Monitor app activity,0.95,10
play:app.kids360.parent,Usage schedule,0.95,10
play:app.kids360.parent,App usage limiter,0.95,10
play:app.kids360.parent,Apps statistics,0.95,10
play:app.kids360.parent,Screen time tracking,0.95,10
play:app.kids360.parent,Child lock,0.95,10
play:app.kids360.parent,Kids mode,0.95,10
play:app.kids360.parent,Stay in touch with essential apps,0.95,10
play:app.kids360.parent,Mobile app tracker,0.95,10
play:app.kids360.parent,Permission management,0.95,10
play:app.kids360.parent,Display over other apps,0.95,10
play:app.kids360.parent,Special access for limiting screen time,0.95,10
play:app.kids360.parent,Access to usage data,0.95,10
play:app.kids360.parent,Autorun for app tracker,0.95,10
play:app.kids360.parent,Device administrator access,0.95,10
play:app.kids360.parent,Location tracking,0.95,10
play:app.kids360.parent,View location history,0.95,10
play:app.kids360.parent,Create and assign tasks,0.95,10
play:app.kids360.parent,Reward system for completing tasks,0.95,10
