app_key,accountability,block_removal,calendar_scheduling,custom_rules,emergency_access,goal_advancement,goal_planning,habit_analytics,habit_reminders,habit_tracking,notes_knowledge,override_friction,prioritisation,project_planning,reward_punishment,routine_builder,scheduling,self_tracking,streaks,task_management,time_blocking
cws:aacicogfahcdijddomfbninhjjbainjb,0.9,0.95,0.95,0.9,0.9,0.9,0.95,0.9,0.9,0.9,0.95,0.9,0.95,0.95,0.95,0.9,0.95,0.95,0.85,0.95,0.95
cws:aagckeangbhdegepjkmihamjggeflipg,0.0,0.9,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
cws:aapcigpegmhncjofolnjdibbimmegdpo,0.5,0.95,0.95,0.95,0.9,0.9,0.95,0.5,0.5,0.5,0.95,0.9,0.95,0.95,0.9,0.5,0.95,0.9,0.5,0.95,0.95
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,0.0,0.8,0.9,0.9,0.9,0.8,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.85,0.7,0.0,0.9,0.95
cws:acjicnehenlkmfnfpbjbpfnjegbelbpj,0.5,0.95,0.95,0.95,0.5,0.85,0.95,0.5,0.5,0.5,0.95,0.5,0.95,0.95,0.9,0.5,0.95,0.85,0.5,0.95,0.9
cws:ahmapmilbkfamljbpgphfndeemhnajme,0.0,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0
cws:ajfnijfldjjdnahcfophikekeinkcjkh,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.8
cws:akkeocgaabiepmmmnjbjejefaigeabco,0.0,0.9,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.8,0.8,0.0,0.0,0.0
cws:amjhcaicehjnnfjdpopgomhaeabjmkml,0.0,0.95,0.8,0.9,0.7,0.9,0.8,0.0,0.0,0.0,0.8,0.7,0.8,0.8,0.8,0.0,0.9,0.9,0.0,0.9,0.95
cws:andkpmfpmmfbnlbjjnkibmipcocccnpn,0.0,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0
cws:aoabjfoanlljmgnohepbkimcekolejjn,0.95,0.95,0.95,0.95,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.9,0.95,0.95,0.9,0.95,0.95,0.95
cws:baefifnjmlmfcdkmbkdbjiijlpggkoic,0.0,0.95,0.9,0.9,0.95,0.9,0.9,0.0,0.0,0.0,0.9,0.95,0.9,0.9,0.95,0.0,0.9,0.95,0.0,0.9,0.85
cws:bebhefcdgigdmaalghmfldlpnlihgagh,0.0,0.95,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0
cws:beonelencefgcankelbahlicbelpimbj,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.9,0.0,0.0
cws:bilbbamlcngpnbigcimcomgfdfjpgalb,0.9,0.95,0.9,0.9,0.9,0.9,0.85,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.95,0.85,0.9,0.85
cws:bmgapafjmieapnakkcjecbjjmhjjkjdh,0.0,0.95,0.0,0.95,0.5,0.85,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.95,0.0,0.5,0.9,0.0,0.0,0.0
cws:bnhoohnpacahbpomggeekbiijpmphoan,0.0,0.9,0.9,0.8,0.9,0.85,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.85,0.8,0.0,0.9,0.85
cws:bnmlbplkbmonkmbgacnhpnagedpehhbh,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.5,0.9,0.0,0.9,0.9,0.0,0.85,0.0,0.0,0.9,0.5,0.9
cws:bojgfojkbefkdapljkgknamfhfkpjddf,0.5,0.95,0.0,0.6,0.6,0.7,0.0,0.5,0.5,0.5,0.0,0.6,0.0,0.0,0.8,0.5,0.6,0.85,0.9,0.0,0.0
cws:cidlnonacebcdekahbbknnmkbclhodnc,0.0,0.95,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.9,0.0,0.0,0.0
cws:ckfejoidaicoaiacpegjindigbllohie,0.9,1.0,0.0,1.0,1.0,0.9,0.0,0.9,0.9,0.95,0.0,1.0,0.0,0.0,0.9,0.9,1.0,0.95,0.95,0.0,0.0
cws:cnnanfhnjndfhjofabppgccbnplioggm,0.0,0.9,0.0,0.9,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
cws:dbhddnbkappldeffnjacgmgddeckkpbg,0.9,0.95,0.0,0.9,0.95,0.9,0.0,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.85,0.9,0.8,0.9,0.95,0.0,0.0
cws:ddgpmapoeniaajondpdgpkoopodpecid,0.0,0.9,0.9,0.5,0.5,0.6,0.9,0.0,0.0,0.0,0.9,0.5,0.9,0.9,0.8,0.0,0.5,0.7,0.0,0.75,0.9
cws:dhooahmpdcmdnjbdedfhhopjdboeniih,0.8,0.95,0.95,0.95,0.8,0.8,0.95,0.9,0.9,0.9,0.95,0.8,0.95,0.95,0.85,0.8,0.95,0.9,0.8,0.95,0.9
cws:djlcaojjlpkmbibdmbineghpdfdfkdel,0.0,0.9,0.9,0.9,0.9,0.8,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.8,0.0,0.9,0.95
cws:dmbalohccebhfhnadejgcpikngacbfek,0.0,0.95,0.9,0.95,0.95,0.85,0.9,0.0,0.0,0.0,0.9,0.95,0.9,0.9,0.95,0.0,0.95,0.9,0.0,0.9,0.9
cws:dmhkalipldojecjggjindleobbfhbahj,0.0,0.95,0.95,0.85,0.95,0.9,0.9,0.0,0.0,0.0,0.9,0.95,0.9,0.9,0.95,0.0,0.9,0.9,0.0,0.95,0.9
cws:dpfofggmkhdbfcciajfdphofclabnogo,0.0,0.95,0.95,0.95,0.85,0.85,0.95,0.0,0.0,0.0,0.95,0.9,0.95,0.95,0.9,0.0,0.9,0.8,0.0,0.95,0.9
cws:dplfndmflhcoiobjccmdoclbcahfeoij,0.0,0.95,0.0,0.9,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.0,0.5,0.8,0.0,0.0,0.0
cws:efkdgnehbfibggfibkcihjkdajdnjmng,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.9
cws:ehjjfofjnfhalaleelhbjjellbfhbfgm,0.0,0.8,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.8,0.8,0.0,0.0,0.0
cws:eihjgbfgjkbgdhaldhppomcodpefgecd,0.0,0.9,0.9,0.8,0.8,0.95,0.9,0.0,0.0,0.0,0.9,0.8,0.9,0.9,0.9,0.0,0.8,0.8,0.0,0.9,0.9
cws:ejgemnelnfkihiadpbfneghconekmcbd,0.9,0.9,0.9,0.5,0.5,0.9,0.95,0.85,0.8,0.9,0.9,0.5,0.9,0.85,0.5,0.7,0.5,0.9,0.8,0.95,0.9
