app_key,accountability,block_removal,calendar_scheduling,custom_rules,emergency_access,goal_advancement,goal_planning,habit_analytics,habit_reminders,habit_tracking,notes_knowledge,override_friction,prioritisation,project_planning,reward_punishment,routine_builder,scheduling,self_tracking,streaks,task_management,time_blocking
cws:aacicogfahcdijddomfbninhjjbainjb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
cws:aagckeangbhdegepjkmihamjggeflipg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:aapcigpegmhncjofolnjdibbimmegdpo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:acjicnehenlkmfnfpbjbpfnjegbelbpj,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:ahmapmilbkfamljbpgphfndeemhnajme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:ajfnijfldjjdnahcfophikekeinkcjkh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:akkeocgaabiepmmmnjbjejefaigeabco,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:amjhcaicehjnnfjdpopgomhaeabjmkml,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:andkpmfpmmfbnlbjjnkibmipcocccnpn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:aoabjfoanlljmgnohepbkimcekolejjn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:baefifnjmlmfcdkmbkdbjiijlpggkoic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:bebhefcdgigdmaalghmfldlpnlihgagh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:beonelencefgcankelbahlicbelpimbj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:bilbbamlcngpnbigcimcomgfdfjpgalb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:bmgapafjmieapnakkcjecbjjmhjjkjdh,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:bnhoohnpacahbpomggeekbiijpmphoan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:bnmlbplkbmonkmbgacnhpnagedpehhbh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:bojgfojkbefkdapljkgknamfhfkpjddf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:cidlnonacebcdekahbbknnmkbclhodnc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:ckfejoidaicoaiacpegjindigbllohie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:cnnanfhnjndfhjofabppgccbnplioggm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:dbhddnbkappldeffnjacgmgddeckkpbg,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:ddgpmapoeniaajondpdgpkoopodpecid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:dhooahmpdcmdnjbdedfhhopjdboeniih,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
cws:djlcaojjlpkmbibdmbineghpdfdfkdel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:dmbalohccebhfhnadejgcpikngacbfek,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:dmhkalipldojecjggjindleobbfhbahj,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cws:dpfofggmkhdbfcciajfdphofclabnogo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:dplfndmflhcoiobjccmdoclbcahfeoij,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:efkdgnehbfibggfibkcihjkdajdnjmng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:ehjjfofjnfhalaleelhbjjellbfhbfgm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:eihjgbfgjkbgdhaldhppomcodpefgecd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cws:ejgemnelnfkihiadpbfneghconekmcbd,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:eoaadhjniegbmpgooeflmdfonmaajpcp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:eopnbfdedknpnlgcbeafohkkkgahpcgo,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:famfkafckbmdnbnhjomagngmncfjjlee,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:femnahohginddofgekknfmaklcbpinkn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:fgaaffhjdmhlhdmmigjpjepflplblgam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:fgdbgpogmjcfhbifhhongdeidnnmnadb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:fgkkmokgpilcfageadkabpfcolkddefk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:fhibnoojcpppgnhmflbejbdenpllndai,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:fifbgboiihlbnmgcjpdbeeaaemnlgnoh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:fmlkbhlcpkkgndjjmlbgdhkojokiechg,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:gefaddaengbodpiobpbgblajdboalmgc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:gigiekecpijokpijbabheahcnpfchhga,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:gmdaagomicigmgadngfallebccknddhd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:gmmcoggmjnbbklphjcbnpfepmagelgkk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:gnjnoncblhhofbhekoogfohpppkbiclo,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:gpiakngfngdkcbgggpahcpokomckjnka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:hcelgfllhjoilpbohioepjnbmgkefaen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:hchpbgikdjjaecnpjigpbemfpklenjbk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:hddclpebfglijbmapdjminkkcafchkmb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:hdndbhnidlhphocggjbhdpeeaiehmadh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:heiociebkegcmkeagfhjegdklidfdidd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:hgbhmfckkljdpebjaafmhaidboijiflp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:hljpnbabhaomedbbpmknmhjmbbhbgnod,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:hllblboekpocmhbkkhdekeldnphdpmlk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:hlnfaecadmhdahdicpegeahkjchclojl,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:ifdepgnnjpnbkcgempionjablajancjc,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
cws:iijpilnaolaphiljcinklmdlgdhdokia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:ipdhikeonhhnphaffliobbkdepniggil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:ipggcbohndbcegepmgmkdapggbilhmee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:jdbliieklfhihjpmhhekcoldpcemlafj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:jdgkhgoanhhnileehaipfpffmnfiiibh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:jemdldabgmbndebknjpdoeamckbliobm,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:jfgclifcjffpgeeonldlmfkipgjnbcai,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
cws:jmdmoiflcdfmpemlhjdlfomobdcdmfai,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:jncfngnkpganmjmdgneaochohoejalin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
cws:jpafaidkicnfcohbcfegbokibbghpnee,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
cws:jplackcnmigbganpfbkghkinkbhpgnpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:kgbhcpefflhkcfjphgmjncmhdgegddaa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:kgehdpikfeppnmjeoklagcpmjhbdhokl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:kglcjphcooleepabaanldpogbgfiioio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:kjacjjdnoddnpbbcjilcajfhhbdhkpgk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cws:kmknalpaghkffobnpnepdlggelbpgifp,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:kniediipngcpmbmpeacaoinhoeipfina,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:knoibfcfmbijcbemjoiajedddjcekcfh,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:kobdkbiaocipojejmmfpanehieloahpd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:lbajmocmhedhaaiiammglajpagbdaeeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:lebiggkccaodkkmjeimmbogdedcpnmfb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:lfbpllmokmhinnopfchemobgglipfini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:lkicfohpijhcaahdmianhgjglifhlmge,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:llogngooedgefajjngomcpbjejcehiei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:lmhigafnplnkcajndfikkgmbmnlhpomm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:lmkabfnhejcjipkccmgphkhmakokeadk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:mfokmjkehphfjpglcpfgdfohpjmpdikb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:mjlpmgalhhdeeabfncllajdlkmgbppnk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:mnipihpddbmlpcklhpfamejbeldiclkc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:nanjaegameeoomamnliimipmmfabdngd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:ncaaipdfhdijmfdfmeoagmogddhkfdec,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cws:ngboiiifeoioghodfglighnahefnjbib,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cws:ngceodoilcgpmkijopinlkmohnfifjfb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:ngdnagmkbllpeiihbiojaeiopffnknna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:nhoiajdbcfmpddgakbhjljacldalbfdo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
cws:niobhkibappdoakflmihhobagcdfimhi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:njboofjpggbholgpjkdllgnancfangoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:nncbanjglhbgeilnlmoeemmbmbigmabe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cws:nognbljbdjgcnimgimlpaginadeiiefe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
